# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7834943067802
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     0.98%     0.01%  iou-wrk-3085     [kernel.vmlinux]  [k] io_worker_handle_work
     0.98%     0.01%  iou-wrk-3094     [kernel.vmlinux]  [k] io_read
     0.98%     0.00%  iou-wrk-3094     [kernel.vmlinux]  [k] io_issue_sqe
     0.98%     0.02%  iou-wrk-3097     [kernel.vmlinux]  [k] io_worker_handle_work
     0.98%     0.01%  iou-wrk-3071     [kernel.vmlinux]  [k] io_worker_handle_work
     0.98%     0.00%  iou-wrk-3063     [kernel.vmlinux]  [k] io_read
     0.97%     0.05%  iou-wrk-3099     [kernel.vmlinux]  [k] filemap_read
     0.97%     0.02%  iou-wrk-3070     [kernel.vmlinux]  [k] io_worker_handle_work
     0.97%     0.00%  iou-wrk-3072     [kernel.vmlinux]  [k] io_wq_submit_work
     0.97%     0.03%  iou-wrk-3082     [kernel.vmlinux]  [k] filemap_read
     0.96%     0.00%  iou-wrk-3072     [kernel.vmlinux]  [k] io_issue_sqe
     0.96%     0.10%  iou-wrk-3067     [kernel.vmlinux]  [k] filemap_read
     0.96%     0.00%  iou-wrk-3072     [kernel.vmlinux]  [k] io_read
     0.96%     0.04%  iou-wrk-3064     [kernel.vmlinux]  [k] filemap_read
     0.96%     0.10%  fio              [kernel.vmlinux]  [k] check_preempt_curr
     0.95%     0.05%  iou-wrk-3076     [kernel.vmlinux]  [k] filemap_read
     0.95%     0.04%  iou-wrk-3073     [kernel.vmlinux]  [k] filemap_read
     0.95%     0.01%  iou-wrk-3077     [kernel.vmlinux]  [k] io_wq_submit_work
     0.95%     0.05%  iou-wrk-3089     [kernel.vmlinux]  [k] filemap_read
     0.95%     0.00%  iou-wrk-3093     [kernel.vmlinux]  [k] io_wq_submit_work
