# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2697294022688
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
     1.06%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_wq_submit_work
     1.06%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_read
     1.06%     0.03%  iou-wrk-3242     [kernel.vmlinux]            [k] io_worker_handle_work
     1.06%     0.05%  iou-wrk-3231     [kernel.vmlinux]            [k] filemap_read
     1.05%     0.56%  fio              [kernel.vmlinux]            [k] update_curr
     1.04%     0.04%  iou-wrk-3261     [kernel.vmlinux]            [k] io_worker_handle_work
     1.04%     0.03%  iou-wrk-3240     [kernel.vmlinux]            [k] filemap_read
     1.04%     0.03%  iou-wrk-3252     [kernel.vmlinux]            [k] io_worker_handle_work
     1.03%     0.01%  iou-wrk-3259     [kernel.vmlinux]            [k] io_issue_sqe
     1.03%     0.00%  iou-wrk-3259     [kernel.vmlinux]            [k] io_wq_submit_work
     1.03%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_issue_sqe
     1.03%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wq_submit_work
     1.03%     0.01%  iou-wrk-3269     [kernel.vmlinux]            [k] io_worker_handle_work
     1.03%     0.01%  iou-wrk-3259     [kernel.vmlinux]            [k] io_read
     1.03%     0.01%  iou-wrk-3273     [kernel.vmlinux]            [k] io_worker_handle_work
     1.03%     0.03%  iou-wrk-3267     [kernel.vmlinux]            [k] filemap_read
     1.02%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_read
     1.02%     0.01%  iou-wrk-3272     [kernel.vmlinux]            [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3272     [kernel.vmlinux]            [k] io_wq_submit_work
     1.02%     0.04%  iou-wrk-3246     [kernel.vmlinux]            [k] io_worker_handle_work
     1.02%     0.03%  iou-wrk-3239     [kernel.vmlinux]            [k] filemap_read
     1.02%     0.01%  iou-wrk-3264     [kernel.vmlinux]            [k] io_worker_handle_work
     1.01%     0.00%  iou-wrk-3272     [kernel.vmlinux]            [k] io_read
     1.01%     0.00%  iou-wrk-3270     [kernel.vmlinux]            [k] filemap_get_pages
     1.00%     0.04%  iou-wrk-3247     [kernel.vmlinux]            [k] filemap_read
     1.00%     0.00%  iou-wrk-3262     [kernel.vmlinux]            [k] filemap_get_pages
     1.00%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] io_wq_submit_work
     1.00%     0.03%  iou-wrk-3245     [kernel.vmlinux]            [k] filemap_read
     0.99%     0.01%  iou-wrk-3269     [kernel.vmlinux]            [k] io_issue_sqe
     0.99%     0.00%  iou-wrk-3269     [kernel.vmlinux]            [k] io_wq_submit_work
     0.99%     0.03%  iou-wrk-3254     [kernel.vmlinux]            [k] filemap_read
     0.99%     0.06%  iou-wrk-3259     [kernel.vmlinux]            [k] filemap_read
     0.99%     0.00%  iou-wrk-3269     [kernel.vmlinux]            [k] io_read
     0.98%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_read
     0.98%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_issue_sqe
     0.98%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wq_submit_work
     0.97%     0.03%  iou-wrk-3257     [kernel.vmlinux]            [k] filemap_read
     0.97%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_read
     0.97%     0.03%  iou-wrk-3253     [kernel.vmlinux]            [k] filemap_read
     0.97%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] io_worker_handle_work
     0.96%     0.01%  iou-wrk-3261     [kernel.vmlinux]            [k] io_issue_sqe
     0.96%     0.00%  iou-wrk-3261     [kernel.vmlinux]            [k] io_wq_submit_work
     0.95%     0.00%  iou-wrk-3261     [kernel.vmlinux]            [k] io_read
     0.95%     0.02%  iou-wrk-3272     [kernel.vmlinux]            [k] filemap_read
     0.94%     0.03%  iou-wrk-3269     [kernel.vmlinux]            [k] filemap_read
     0.94%     0.01%  iou-wrk-3261     [kernel.vmlinux]            [k] filemap_read
