# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 8473004961970
#
# Children      Self  Command          Shared Object               Symbol                                  
# ........  ........  ...............  ..........................  ........................................
#
     1.09%     0.01%  iou-wrk-3467     [kernel.vmlinux]            [k] io_worker_handle_work
     1.09%     0.04%  iou-wrk-3472     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.02%  iou-wrk-3471     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.00%  iou-wrk-3475     [kernel.vmlinux]            [k] io_read
     1.08%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] io_wq_submit_work
     1.08%     0.01%  iou-wrk-3441     [kernel.vmlinux]            [k] io_read
     1.08%     0.00%  iou-wrk-3441     [kernel.vmlinux]            [k] io_issue_sqe
     1.08%     0.01%  iou-wrk-3452     [kernel.vmlinux]            [k] io_issue_sqe
     1.08%     0.00%  iou-wrk-3452     [kernel.vmlinux]            [k] io_wq_submit_work
     1.08%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] io_wq_submit_work
     1.08%     0.03%  iou-wrk-3462     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.00%  iou-wrk-3442     [kernel.vmlinux]            [k] io_issue_sqe
     1.07%     0.01%  iou-wrk-3442     [kernel.vmlinux]            [k] io_read
     1.07%     0.01%  iou-wrk-3452     [kernel.vmlinux]            [k] io_read
     1.07%     0.03%  iou-wrk-3448     [kernel.vmlinux]            [k] filemap_read
     1.07%     0.01%  iou-wrk-3455     [kernel.vmlinux]            [k] io_worker_handle_work
     1.07%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] io_issue_sqe
     1.07%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] io_wq_submit_work
     1.07%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] io_wq_submit_work
     1.07%     0.00%  iou-wrk-3456     [kernel.vmlinux]            [k] io_read
     1.07%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] io_read
     1.07%     0.00%  iou-wrk-3461     [kernel.vmlinux]            [k] io_issue_sqe
     1.06%     0.04%  iou-wrk-3443     [kernel.vmlinux]            [k] filemap_read
     1.06%     0.00%  iou-wrk-3454     [kernel.vmlinux]            [k] io_issue_sqe
     1.06%     0.00%  iou-wrk-3454     [kernel.vmlinux]            [k] io_wq_submit_work
     1.06%     0.02%  iou-wrk-3454     [kernel.vmlinux]            [k] io_read
     1.05%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] io_issue_sqe
     1.05%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] io_wq_submit_work
     1.05%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] io_issue_sqe
     1.05%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] io_wq_submit_work
     1.05%     0.00%  iou-wrk-3482     [kernel.vmlinux]            [k] io_read
     1.05%     0.00%  iou-wrk-3444     [kernel.vmlinux]            [k] io_read
     1.04%     0.05%  iou-wrk-3442     [kernel.vmlinux]            [k] filemap_read
     1.03%     0.01%  iou-wrk-3476     [kernel.vmlinux]            [k] io_read
     1.03%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] io_issue_sqe
     1.03%     0.00%  iou-wrk-3476     [kernel.vmlinux]            [k] io_wq_submit_work
     1.03%     0.03%  iou-wrk-3475     [kernel.vmlinux]            [k] filemap_read
     1.03%     0.02%  fio              [kernel.vmlinux]            [k] raw_spin_rq_lock_nested.constprop.0
     1.02%     0.00%  iou-wrk-3467     [kernel.vmlinux]            [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3467     [kernel.vmlinux]            [k] io_wq_submit_work
