# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2379524085286
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
     0.77%     0.06%  iou-wrk-2949     [kernel.vmlinux]  [k] filemap_read
     0.77%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] schedule_timeout
     0.76%     0.01%  iou-wrk-2976     [kernel.vmlinux]  [k] io_read
     0.76%     0.06%  iou-wrk-2980     [kernel.vmlinux]  [k] filemap_read
     0.76%     0.08%  iou-wrk-2955     [kernel.vmlinux]  [k] __schedule
     0.76%     0.01%  iou-wrk-2949     [kernel.vmlinux]  [k] schedule_timeout
     0.76%     0.01%  iou-wrk-2981     [kernel.vmlinux]  [k] schedule_timeout
     0.75%     0.01%  iou-wrk-2986     [kernel.vmlinux]  [k] io_worker_handle_work
     0.75%     0.03%  iou-wrk-2967     [kernel.vmlinux]  [k] filemap_read
     0.74%     0.01%  iou-wrk-2960     [kernel.vmlinux]  [k] schedule_timeout
     0.74%     0.06%  iou-wrk-2955     [kernel.vmlinux]  [k] filemap_read
     0.74%     0.01%  iou-wrk-2984     [kernel.vmlinux]  [k] io_read
     0.74%     0.00%  iou-wrk-2984     [kernel.vmlinux]  [k] io_issue_sqe
     0.74%     0.00%  iou-wrk-2984     [kernel.vmlinux]  [k] io_wq_submit_work
     0.74%     0.02%  iou-wrk-2969     [kernel.vmlinux]  [k] io_worker_handle_work
     0.74%     0.10%  iou-wrk-2972     [kernel.vmlinux]  [k] filemap_read
     0.73%     0.01%  iou-wrk-2957     [kernel.vmlinux]  [k] schedule
     0.73%     0.01%  iou-wrk-2961     [kernel.vmlinux]  [k] io_issue_sqe
     0.73%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] io_wq_submit_work
     0.72%     0.00%  iou-wrk-2961     [kernel.vmlinux]  [k] io_read
     0.72%     0.04%  iou-wrk-2971     [kernel.vmlinux]  [k] io_worker_handle_work
     0.72%     0.02%  iou-wrk-2972     [kernel.vmlinux]  [k] schedule_timeout
     0.72%     0.05%  iou-wrk-2957     [kernel.vmlinux]  [k] __schedule
     0.71%     0.01%  iou-wrk-2952     [kernel.vmlinux]  [k] io_wq_submit_work
     0.71%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] schedule
     0.71%     0.07%  iou-wrk-2977     [kernel.vmlinux]  [k] filemap_read
     0.71%     0.01%  iou-wrk-2959     [kernel.vmlinux]  [k] io_wq_submit_work
     0.71%     0.01%  iou-wrk-2952     [kernel.vmlinux]  [k] io_read
     0.71%     0.00%  iou-wrk-2952     [kernel.vmlinux]  [k] io_issue_sqe
     0.70%     0.01%  iou-wrk-2959     [kernel.vmlinux]  [k] io_read
     0.70%     0.00%  iou-wrk-2959     [kernel.vmlinux]  [k] io_issue_sqe
