# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 897K of event 'cycles'
# Event count (approx.): 95051495853802
#
# Children      Self  Command          Shared Object               Symbol                                                 
# ........  ........  ...............  ..........................  .......................................................
#
     1.14%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3073     [kernel.vmlinux]            [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3140     [kernel.vmlinux]            [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3066     [kernel.vmlinux]            [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-3086     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_read
     1.14%     0.01%  iou-wrk-3135     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3129     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-3068     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_read
     1.14%     0.01%  iou-wrk-3097     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-3072     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.01%  iou-wrk-3081     [kernel.vmlinux]            [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.01%  iou-wrk-3126     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.01%  iou-wrk-3091     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.01%  iou-wrk-3094     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.01%  iou-wrk-3117     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-3113     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] io_read
     1.13%     0.01%  iou-wrk-3085     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-3125     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-3098     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3127     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3114     [kernel.vmlinux]            [k] io_worker_handle_work
