# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8777788382501
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
     1.30%     0.00%  iou-wrk-3349     [kernel.vmlinux]  [k] io_read
     1.29%     0.01%  iou-wrk-3359     [kernel.vmlinux]  [k] filemap_get_pages
     1.29%     0.01%  iou-wrk-3350     [kernel.vmlinux]  [k] io_worker_handle_work
     1.29%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] io_issue_sqe
     1.29%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] io_wq_submit_work
     1.29%     0.00%  iou-wrk-3356     [kernel.vmlinux]  [k] io_read
     1.27%     0.00%  iou-wrk-3383     [kernel.vmlinux]  [k] io_wq_submit_work
     1.27%     0.01%  iou-wrk-3383     [kernel.vmlinux]  [k] io_issue_sqe
     1.27%     0.04%  iou-wrk-3360     [kernel.vmlinux]  [k] filemap_read
     1.27%     0.02%  iou-wrk-3365     [kernel.vmlinux]  [k] filemap_read
     1.26%     0.00%  iou-wrk-3383     [kernel.vmlinux]  [k] io_read
     1.26%     0.02%  iou-wrk-3357     [kernel.vmlinux]  [k] filemap_read
     1.26%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] io_issue_sqe
     1.26%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] io_wq_submit_work
     1.26%     0.04%  iou-wrk-3356     [kernel.vmlinux]  [k] filemap_read
     1.26%     0.00%  iou-wrk-3381     [kernel.vmlinux]  [k] io_read
     1.25%     0.02%  iou-wrk-3349     [kernel.vmlinux]  [k] filemap_read
     1.25%     0.00%  iou-wrk-3373     [kernel.vmlinux]  [k] io_wq_submit_work
     1.25%     0.01%  iou-wrk-3373     [kernel.vmlinux]  [k] io_read
     1.25%     0.00%  iou-wrk-3373     [kernel.vmlinux]  [k] io_issue_sqe
     1.24%     0.00%  iou-wrk-3372     [kernel.vmlinux]  [k] io_issue_sqe
     1.24%     0.00%  iou-wrk-3372     [kernel.vmlinux]  [k] io_wq_submit_work
     1.24%     0.01%  iou-wrk-3372     [kernel.vmlinux]  [k] io_read
     1.24%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] filemap_get_pages
     1.24%     0.00%  iou-wrk-3350     [kernel.vmlinux]  [k] io_wq_submit_work
