# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 9102693993722
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     1.27%     0.00%  iou-wrk-3160     [kernel.vmlinux]  [k] filemap_get_pages
     1.26%     0.01%  iou-wrk-3157     [kernel.vmlinux]  [k] io_read
     1.26%     0.00%  iou-wrk-3128     [kernel.vmlinux]  [k] io_issue_sqe
     1.26%     0.00%  iou-wrk-3128     [kernel.vmlinux]  [k] io_wq_submit_work
     1.26%     0.01%  iou-wrk-3128     [kernel.vmlinux]  [k] io_read
     1.26%     0.00%  iou-wrk-3129     [kernel.vmlinux]  [k] io_wq_submit_work
     1.25%     0.00%  iou-wrk-3129     [kernel.vmlinux]  [k] io_issue_sqe
     1.25%     0.03%  iou-wrk-3159     [kernel.vmlinux]  [k] filemap_read
     1.25%     0.03%  iou-wrk-3155     [kernel.vmlinux]  [k] filemap_read
     1.25%     0.00%  iou-wrk-3127     [kernel.vmlinux]  [k] filemap_get_pages
     1.25%     0.00%  iou-wrk-3129     [kernel.vmlinux]  [k] io_read
