# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50663668354832
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.21%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.01%  iou-wrk-3252     [kernel.vmlinux]            [k] io_read
     1.21%     0.01%  iou-wrk-3258     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3229     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3227     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3229     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3221     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_read
     1.21%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_read
     1.21%     0.01%  iou-wrk-3228     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3221     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.01%  iou-wrk-3227     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.01%  iou-wrk-3229     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3224     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.01%  iou-wrk-3246     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.01%  iou-wrk-3221     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3224     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_read
     1.20%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.01%  iou-wrk-3257     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_read
     1.20%     0.01%  iou-wrk-3224     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3231     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3231     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.01%  iou-wrk-3235     [kernel.vmlinux]            [k] io_read
     1.20%     0.01%  iou-wrk-3238     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3222     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.00%  iou-wrk-3222     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.01%  iou-wrk-3248     [kernel.vmlinux]            [k] io_read
