# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31979551606917
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     2.16%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_read
     2.16%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.01%  iou-wrk-3121     [kernel.vmlinux]            [k] io_worker_handle_work
     2.16%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_read
     2.16%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_read
     2.16%     0.01%  iou-wrk-3122     [kernel.vmlinux]            [k] io_worker_handle_work
     2.16%     0.02%  iou-wrk-3113     [kernel.vmlinux]            [k] filemap_read
     2.16%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] io_read
     2.16%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.01%  iou-wrk-3103     [kernel.vmlinux]            [k] io_worker_handle_work
     2.16%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] io_wq_submit_work
     2.16%     0.02%  iou-wrk-3106     [kernel.vmlinux]            [k] filemap_read
     2.16%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] io_issue_sqe
     2.16%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] io_issue_sqe
     2.15%     0.02%  iou-wrk-3118     [kernel.vmlinux]            [k] filemap_read
     2.15%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] io_wq_submit_work
     2.15%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] io_read
     2.15%     0.00%  iou-wrk-3099     [kernel.vmlinux]            [k] io_read
     2.15%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] io_issue_sqe
     2.15%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_wq_submit_work
     2.15%     0.01%  iou-wrk-3097     [kernel.vmlinux]            [k] io_worker_handle_work
     2.15%     0.01%  iou-wrk-3111     [kernel.vmlinux]            [k] io_worker_handle_work
     2.15%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_issue_sqe
     2.15%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_wq_submit_work
     2.15%     0.00%  iou-wrk-3119     [kernel.vmlinux]            [k] io_read
