# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 64155171953591
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     2.19%     0.01%  iou-wrk-2965     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.01%  iou-wrk-2952     [kernel.vmlinux]    [k] io_worker_handle_work
     2.19%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] io_issue_sqe
     2.18%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.01%  iou-wrk-2936     [kernel.vmlinux]    [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] io_issue_sqe
     2.18%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] io_issue_sqe
     2.18%     0.01%  iou-wrk-2962     [kernel.vmlinux]    [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] io_read
     2.18%     0.00%  iou-wrk-2949     [kernel.vmlinux]    [k] io_read
     2.18%     0.00%  iou-wrk-2938     [kernel.vmlinux]    [k] io_read
     2.18%     0.02%  iou-wrk-2966     [kernel.vmlinux]    [k] filemap_read
     2.18%     0.01%  iou-wrk-2968     [kernel.vmlinux]    [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-2942     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.01%  iou-wrk-2939     [kernel.vmlinux]    [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-2951     [kernel.vmlinux]    [k] io_wq_submit_work
     2.18%     0.01%  iou-wrk-2937     [kernel.vmlinux]    [k] io_worker_handle_work
     2.18%     0.00%  iou-wrk-2942     [kernel.vmlinux]    [k] io_issue_sqe
     2.17%     0.01%  iou-wrk-2935     [kernel.vmlinux]    [k] io_worker_handle_work
     2.17%     0.00%  iou-wrk-2951     [kernel.vmlinux]    [k] io_issue_sqe
