# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32094324233218
#
# Children      Self  Command          Shared Object       Symbol                                              
# ........  ........  ...............  ..................  ....................................................
#
     2.10%     0.02%  iou-wrk-3635     [kernel.vmlinux]    [k] filemap_read
     2.09%     0.01%  iou-wrk-3654     [kernel.vmlinux]    [k] io_worker_handle_work
     2.09%     0.02%  iou-wrk-3640     [kernel.vmlinux]    [k] filemap_read
     2.09%     0.00%  iou-wrk-3626     [kernel.vmlinux]    [k] io_wq_submit_work
     2.09%     0.02%  iou-wrk-3634     [kernel.vmlinux]    [k] filemap_read
     2.09%     0.00%  iou-wrk-3626     [kernel.vmlinux]    [k] io_issue_sqe
     2.09%     0.02%  iou-wrk-3630     [kernel.vmlinux]    [k] filemap_read
     2.09%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] io_wq_submit_work
     2.09%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] io_wq_submit_work
     2.09%     0.00%  iou-wrk-3626     [kernel.vmlinux]    [k] io_read
     2.09%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] io_issue_sqe
     2.09%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] io_issue_sqe
     2.09%     0.00%  iou-wrk-3652     [kernel.vmlinux]    [k] io_read
     2.08%     0.00%  iou-wrk-3655     [kernel.vmlinux]    [k] io_read
     2.08%     0.02%  iou-wrk-3650     [kernel.vmlinux]    [k] filemap_read
     2.08%     0.02%  iou-wrk-3632     [kernel.vmlinux]    [k] filemap_read
     2.08%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] io_wq_submit_work
     2.08%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] io_issue_sqe
     2.07%     0.00%  iou-wrk-3642     [kernel.vmlinux]    [k] io_read
     2.06%     0.02%  iou-wrk-3636     [kernel.vmlinux]    [k] filemap_read
     2.06%     0.02%  iou-wrk-3666     [kernel.vmlinux]    [k] filemap_read
     2.06%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] io_wq_submit_work
     2.06%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] io_issue_sqe
     2.05%     0.00%  iou-wrk-3654     [kernel.vmlinux]    [k] io_read
     2.05%     0.02%  iou-wrk-3626     [kernel.vmlinux]    [k] filemap_read
     2.05%     0.02%  iou-wrk-3655     [kernel.vmlinux]    [k] filemap_read
     2.05%     0.02%  iou-wrk-3652     [kernel.vmlinux]    [k] filemap_read
     2.05%     0.02%  iou-wrk-3642     [kernel.vmlinux]    [k] filemap_read
     2.03%     0.02%  iou-wrk-3654     [kernel.vmlinux]    [k] filemap_read
     1.96%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] filemap_get_pages
     1.90%     0.02%  kswapd0          [kernel.vmlinux]    [k] _raw_spin_lock_irq
     1.89%     1.89%  kswapd0          [kernel.vmlinux]    [k] native_queued_spin_lock_slowpath
     1.89%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] filemap_get_pages
     1.88%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] filemap_get_pages
     1.88%     0.00%  iou-wrk-3633     [kernel.vmlinux]    [k] filemap_get_pages
     1.87%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] filemap_get_pages
     1.85%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] filemap_get_pages
     1.85%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] page_cache_ra_unbounded
     1.84%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] filemap_get_pages
