# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31618580708647
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     1.15%     0.01%  iou-wrk-3094     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3085     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3085     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3080     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3047     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3092     [kernel.vmlinux]      [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3040     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3030     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3030     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3092     [kernel.vmlinux]      [k] io_read
     1.15%     0.00%  iou-wrk-3041     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3080     [kernel.vmlinux]      [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3036     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3036     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3031     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3031     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3097     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3051     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3080     [kernel.vmlinux]      [k] io_read
     1.15%     0.00%  iou-wrk-3066     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3066     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3039     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3103     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3044     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3073     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3073     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.01%  iou-wrk-3099     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3063     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3053     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3039     [kernel.vmlinux]      [k] io_issue_sqe
     1.15%     0.01%  iou-wrk-3079     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.01%  iou-wrk-3049     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3063     [kernel.vmlinux]      [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3096     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3096     [kernel.vmlinux]      [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3053     [kernel.vmlinux]      [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3039     [kernel.vmlinux]      [k] io_read
     1.15%     0.00%  iou-wrk-3105     [kernel.vmlinux]      [k] io_wq_submit_work
     1.15%     0.01%  iou-wrk-3050     [kernel.vmlinux]      [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3052     [kernel.vmlinux]      [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3052     [kernel.vmlinux]      [k] ret_from_fork
