# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 898K of event 'cycles'
# Event count (approx.): 86704214777183
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     0.88%     0.00%  iou-wrk-2980     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-3001     [kernel.vmlinux]            [k] io_read
     0.88%     0.01%  iou-wrk-2965     [kernel.vmlinux]            [k] io_worker_handle_work
     0.88%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-3010     [kernel.vmlinux]            [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] io_read
     0.87%     0.00%  iou-wrk-2953     [kernel.vmlinux]            [k] io_read
     0.87%     0.35%  fio              [kernel.vmlinux]            [k] update_load_avg
     0.87%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] io_worker_handle_work
     0.87%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] io_wq_submit_work
     0.87%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_read
     0.87%     0.00%  iou-wrk-2980     [kernel.vmlinux]            [k] io_issue_sqe
     0.87%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] io_issue_sqe
     0.87%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_wq_submit_work
     0.87%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] io_wq_submit_work
     0.87%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] io_wq_submit_work
     0.87%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] io_issue_sqe
     0.87%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] io_issue_sqe
     0.87%     0.00%  iou-wrk-3006     [kernel.vmlinux]            [k] io_issue_sqe
