# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32050145111127
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     1.15%     0.00%  iou-wrk-3264     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3339     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3286     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3277     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3277     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3270     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3289     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3339     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3344     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3289     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3270     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.10%  fio              [kernel.vmlinux]    [k] io_read
     1.15%     0.01%  iou-wrk-3333     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3342     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3342     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3319     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3270     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3344     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3289     [kernel.vmlinux]    [k] io_read
     1.15%     0.01%  iou-wrk-3311     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3283     [kernel.vmlinux]    [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3280     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3280     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3338     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3338     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3332     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3332     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3267     [kernel.vmlinux]    [k] io_worker_handle_work
     1.15%     0.00%  iou-wrk-3297     [kernel.vmlinux]    [k] io_wqe_worker
     1.15%     0.00%  iou-wrk-3297     [kernel.vmlinux]    [k] ret_from_fork
     1.15%     0.00%  iou-wrk-3319     [kernel.vmlinux]    [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3344     [kernel.vmlinux]    [k] io_read
     1.15%     0.00%  iou-wrk-3323     [kernel.vmlinux]    [k] io_worker_handle_work
