# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
     0.87%     0.00%  iou-wrk-3440     [kernel.vmlinux]    [k] ret_from_fork
     0.87%     0.01%  iou-wrk-3436     [kernel.vmlinux]    [k] io_wqe_worker
     0.87%     0.00%  iou-wrk-3436     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.00%  iou-wrk-3429     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3429     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3390     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3390     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3464     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3464     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3400     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3400     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3412     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3412     [kernel.vmlinux]    [k] ret_from_fork
     0.86%     0.01%  iou-wrk-3386     [kernel.vmlinux]    [k] io_wqe_worker
     0.86%     0.00%  iou-wrk-3386     [kernel.vmlinux]    [k] ret_from_fork
     0.82%     0.33%  fio              [kernel.vmlinux]    [k] check_preempt_wakeup
     0.82%     0.15%  fio              [kernel.vmlinux]    [k] put_prev_entity
     0.76%     0.32%  fio              [kernel.vmlinux]    [k] psi_task_switch
     0.75%     0.10%  fio              [kernel.vmlinux]    [k] sched_clock_cpu
     0.69%     0.69%  fio              [kernel.vmlinux]    [k] __switch_to_asm
     0.68%     0.64%  fio              [kernel.vmlinux]    [k] _raw_spin_lock
     0.67%     0.15%  fio              [kernel.vmlinux]    [k] set_next_entity
     0.63%     0.61%  fio              [kernel.vmlinux]    [k] native_sched_clock
     0.62%     0.01%  iou-wrk-3391     [kernel.vmlinux]    [k] io_worker_handle_work
