# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 720K of event 'cycles'
# Event count (approx.): 63497295424487
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
     0.60%     0.01%  iou-wrk-3155     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3151     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3173     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3157     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3181     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3202     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3179     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3161     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3170     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3163     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] io_wq_submit_work
     0.59%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_wq_submit_work
     0.59%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] io_wq_submit_work
     0.59%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] io_issue_sqe
     0.59%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_issue_sqe
     0.59%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] io_issue_sqe
     0.59%     0.01%  iou-wrk-3201     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] io_read
     0.58%     0.01%  iou-wrk-3189     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_read
     0.58%     0.01%  iou-wrk-3183     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] io_read
     0.58%     0.01%  iou-wrk-3230     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] io_wq_submit_work
     0.58%     0.01%  iou-wrk-3192     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] io_issue_sqe
     0.58%     0.01%  iou-wrk-3174     [kernel.vmlinux]    [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] io_wq_submit_work
