# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
     0.94%     0.01%  iou-wrk-3147     [kernel.vmlinux]    [k] io_read
     0.94%     0.01%  iou-wrk-3139     [kernel.vmlinux]    [k] io_issue_sqe
     0.94%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] io_wq_submit_work
     0.94%     0.01%  iou-wrk-3139     [kernel.vmlinux]    [k] io_read
     0.94%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] io_issue_sqe
     0.93%     0.01%  iou-wrk-3141     [kernel.vmlinux]    [k] io_read
     0.93%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wq_submit_work
     0.93%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] io_wq_submit_work
     0.93%     0.01%  iou-wrk-3163     [kernel.vmlinux]    [k] io_issue_sqe
     0.93%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] io_wq_submit_work
     0.93%     0.01%  iou-wrk-3171     [kernel.vmlinux]    [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_wq_submit_work
     0.92%     0.01%  iou-wrk-3163     [kernel.vmlinux]    [k] io_read
     0.92%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wq_submit_work
     0.92%     0.01%  iou-wrk-3171     [kernel.vmlinux]    [k] io_read
     0.92%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_wq_submit_work
     0.92%     0.01%  iou-wrk-3170     [kernel.vmlinux]    [k] io_issue_sqe
     0.92%     0.01%  iou-wrk-3160     [kernel.vmlinux]    [k] io_issue_sqe
     0.92%     0.01%  iou-wrk-3149     [kernel.vmlinux]    [k] io_read
     0.92%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_issue_sqe
     0.92%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wq_submit_work
     0.92%     0.01%  iou-wrk-3168     [kernel.vmlinux]    [k] io_issue_sqe
     0.92%     0.01%  iou-wrk-3160     [kernel.vmlinux]    [k] io_read
     0.92%     0.01%  iou-wrk-3170     [kernel.vmlinux]    [k] io_read
     0.91%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wq_submit_work
     0.91%     0.01%  iou-wrk-3172     [kernel.vmlinux]    [k] io_read
     0.91%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_issue_sqe
     0.91%     0.01%  iou-wrk-3168     [kernel.vmlinux]    [k] io_read
     0.91%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] io_wq_submit_work
     0.91%     0.00%  swapper          [kernel.vmlinux]    [k] cpuidle_enter
     0.91%     0.01%  swapper          [kernel.vmlinux]    [k] cpuidle_enter_state
     0.91%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] io_issue_sqe
     0.91%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] io_wq_submit_work
     0.91%     0.01%  iou-wrk-3164     [kernel.vmlinux]    [k] io_read
     0.90%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] io_issue_sqe
     0.90%     0.01%  iou-wrk-3152     [kernel.vmlinux]    [k] io_read
     0.90%     0.05%  iou-wrk-3175     [kernel.vmlinux]    [k] filemap_read
     0.90%     0.01%  iou-wrk-3157     [kernel.vmlinux]    [k] io_read
     0.90%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_wq_submit_work
     0.90%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_issue_sqe
     0.90%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_wq_submit_work
     0.89%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_read
     0.89%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] io_issue_sqe
     0.89%     0.01%  iou-wrk-3177     [kernel.vmlinux]    [k] io_read
     0.89%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_wq_submit_work
     0.89%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_wq_submit_work
     0.89%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] io_wq_submit_work
     0.88%     0.01%  iou-wrk-3159     [kernel.vmlinux]    [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] io_issue_sqe
     0.88%     0.05%  iou-wrk-3144     [kernel.vmlinux]    [k] filemap_read
     0.88%     0.01%  iou-wrk-3140     [kernel.vmlinux]    [k] io_issue_sqe
     0.88%     0.01%  iou-wrk-3166     [kernel.vmlinux]    [k] io_read
     0.88%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] io_wq_submit_work
     0.88%     0.01%  iou-wrk-3145     [kernel.vmlinux]    [k] io_read
     0.88%     0.05%  iou-wrk-3138     [kernel.vmlinux]    [k] filemap_read
     0.88%     0.01%  iou-wrk-3159     [kernel.vmlinux]    [k] io_read
     0.88%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] io_wq_submit_work
     0.88%     0.05%  iou-wrk-3162     [kernel.vmlinux]    [k] filemap_read
     0.88%     0.01%  iou-wrk-3140     [kernel.vmlinux]    [k] io_read
     0.88%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] io_issue_sqe
     0.88%     0.05%  iou-wrk-3146     [kernel.vmlinux]    [k] filemap_read
     0.88%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] io_issue_sqe
     0.87%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wq_submit_work
     0.87%     0.05%  iou-wrk-3173     [kernel.vmlinux]    [k] filemap_read
     0.87%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_issue_sqe
     0.87%     0.01%  iou-wrk-3158     [kernel.vmlinux]    [k] io_read
     0.87%     0.05%  iou-wrk-3147     [kernel.vmlinux]    [k] filemap_read
     0.87%     0.01%  iou-wrk-3142     [kernel.vmlinux]    [k] io_read
     0.87%     0.00%  iou-wrk-3156     [kernel.vmlinux]    [k] io_wq_submit_work
     0.87%     0.01%  iou-wrk-3176     [kernel.vmlinux]    [k] io_read
     0.87%     0.05%  iou-wrk-3151     [kernel.vmlinux]    [k] filemap_read
     0.87%     0.05%  iou-wrk-3139     [kernel.vmlinux]    [k] filemap_read
