# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 65408539148108
#
# Children      Self  Command          Shared Object         Symbol                                     
# ........  ........  ...............  ....................  ...........................................
#
     0.59%     0.00%  iou-wrk-3282     [kernel.vmlinux]      [k] io_issue_sqe
     0.59%     0.01%  iou-wrk-3341     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3333     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3343     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3319     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] io_issue_sqe
     0.59%     0.01%  iou-wrk-3317     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3324     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3344     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3309     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3276     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3282     [kernel.vmlinux]      [k] io_read
     0.59%     0.01%  iou-wrk-3302     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3304     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3263     [kernel.vmlinux]      [k] io_read
     0.59%     0.01%  iou-wrk-3337     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3300     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3301     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3280     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3270     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3305     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3303     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3271     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.01%  iou-wrk-3289     [kernel.vmlinux]      [k] io_worker_handle_work
     0.59%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] io_wq_submit_work
     0.58%     0.00%  iou-wrk-3265     [kernel.vmlinux]      [k] io_wq_submit_work
     0.58%     0.01%  iou-wrk-3269     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3315     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3265     [kernel.vmlinux]      [k] io_issue_sqe
     0.58%     0.01%  iou-wrk-3273     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] io_issue_sqe
     0.58%     0.01%  iou-wrk-3281     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3332     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3331     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3288     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3334     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3336     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.00%  iou-wrk-3265     [kernel.vmlinux]      [k] io_read
     0.58%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] io_read
     0.58%     0.01%  iou-wrk-3326     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3316     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.03%  iou-wrk-3321     [kernel.vmlinux]      [k] filemap_read
     0.58%     0.01%  iou-wrk-3311     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3286     [kernel.vmlinux]      [k] io_worker_handle_work
     0.58%     0.01%  iou-wrk-3342     [kernel.vmlinux]      [k] io_worker_handle_work
     0.57%     0.01%  iou-wrk-3320     [kernel.vmlinux]      [k] io_worker_handle_work
     0.57%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] io_wq_submit_work
     0.57%     0.00%  iou-wrk-3339     [kernel.vmlinux]      [k] io_wq_submit_work
     0.57%     0.00%  iou-wrk-3279     [kernel.vmlinux]      [k] io_wq_submit_work
