# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50691462906819
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     1.15%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-2957     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-2957     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] io_read
     1.15%     0.01%  iou-wrk-2969     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.01%  iou-wrk-2957     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-2970     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-2969     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-2995     [kernel.vmlinux]            [k] io_read
     1.13%     0.01%  iou-wrk-2964     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.01%  iou-wrk-2991     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.01%  iou-wrk-2982     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-2975     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-2980     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-2989     [kernel.vmlinux]            [k] io_read
     1.13%     0.01%  iou-wrk-2975     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] io_read
     1.13%     0.01%  iou-wrk-2980     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-2979     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.01%  iou-wrk-2975     [kernel.vmlinux]            [k] io_read
     1.13%     0.04%  iou-wrk-2984     [kernel.vmlinux]            [k] filemap_read
     1.13%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-2980     [kernel.vmlinux]            [k] io_read
     1.13%     0.04%  iou-wrk-2994     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.01%  iou-wrk-2990     [kernel.vmlinux]            [k] io_read
     1.12%     0.01%  iou-wrk-2966     [kernel.vmlinux]            [k] io_read
     1.12%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.01%  iou-wrk-2983     [kernel.vmlinux]            [k] io_read
     1.12%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-2987     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.04%  iou-wrk-2958     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.01%  iou-wrk-2978     [kernel.vmlinux]            [k] io_read
     1.12%     0.04%  iou-wrk-2986     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.01%  iou-wrk-2987     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-2992     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.04%  iou-wrk-2993     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.01%  iou-wrk-2985     [kernel.vmlinux]            [k] io_read
     1.12%     0.01%  iou-wrk-2965     [kernel.vmlinux]            [k] io_read
     1.11%     0.01%  iou-wrk-2992     [kernel.vmlinux]            [k] io_issue_sqe
     1.11%     0.01%  iou-wrk-2987     [kernel.vmlinux]            [k] io_read
     1.11%     0.01%  iou-wrk-2973     [kernel.vmlinux]            [k] io_read
     1.11%     0.04%  iou-wrk-2963     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.04%  iou-wrk-2961     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.01%  iou-wrk-2992     [kernel.vmlinux]            [k] io_read
