# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7894515641663
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
     0.88%     0.00%  iou-wrk-3267     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.04%  iou-wrk-3257     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.01%  iou-wrk-3267     [kernel.vmlinux]  [k] io_read
     0.88%     0.00%  iou-wrk-3267     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.11%  fio              [kernel.vmlinux]  [k] check_preempt_curr
     0.88%     0.02%  iou-wrk-3245     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.00%  iou-wrk-3240     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3240     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.00%  iou-wrk-3229     [kernel.vmlinux]  [k] io_issue_sqe
     0.88%     0.00%  iou-wrk-3229     [kernel.vmlinux]  [k] io_wq_submit_work
     0.88%     0.04%  iou-wrk-3243     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.04%  iou-wrk-3264     [kernel.vmlinux]  [k] filemap_read
     0.88%     0.01%  iou-wrk-3240     [kernel.vmlinux]  [k] io_read
     0.88%     0.00%  iou-wrk-3229     [kernel.vmlinux]  [k] io_read
     0.87%     0.05%  iou-wrk-3237     [kernel.vmlinux]  [k] filemap_read
     0.87%     0.06%  iou-wrk-3260     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.06%  iou-wrk-3239     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.04%  iou-wrk-3233     [kernel.vmlinux]  [k] filemap_read
     0.86%     0.00%  iou-wrk-3228     [kernel.vmlinux]  [k] io_issue_sqe
     0.86%     0.00%  iou-wrk-3228     [kernel.vmlinux]  [k] io_read
     0.86%     0.00%  iou-wrk-3228     [kernel.vmlinux]  [k] io_wq_submit_work
     0.86%     0.01%  iou-wrk-3246     [kernel.vmlinux]  [k] io_worker_handle_work
     0.86%     0.04%  iou-wrk-3265     [kernel.vmlinux]  [k] filemap_read
     0.85%     0.04%  iou-wrk-3232     [kernel.vmlinux]  [k] filemap_read
     0.85%     0.05%  iou-wrk-3259     [kernel.vmlinux]  [k] filemap_read
     0.85%     0.03%  iou-wrk-3234     [kernel.vmlinux]  [k] filemap_read
     0.84%     0.06%  iou-wrk-3242     [kernel.vmlinux]  [k] filemap_read
     0.84%     0.01%  iou-wrk-3256     [kernel.vmlinux]  [k] io_read
     0.84%     0.00%  iou-wrk-3256     [kernel.vmlinux]  [k] io_issue_sqe
     0.84%     0.00%  iou-wrk-3256     [kernel.vmlinux]  [k] io_wq_submit_work
     0.84%     0.04%  iou-wrk-3262     [kernel.vmlinux]  [k] filemap_read
     0.83%     0.00%  iou-wrk-3238     [kernel.vmlinux]  [k] io_issue_sqe
     0.83%     0.00%  iou-wrk-3238     [kernel.vmlinux]  [k] io_read
     0.83%     0.00%  iou-wrk-3238     [kernel.vmlinux]  [k] io_wq_submit_work
     0.83%     0.05%  iou-wrk-3230     [kernel.vmlinux]  [k] filemap_read
     0.82%     0.04%  iou-wrk-3267     [kernel.vmlinux]  [k] filemap_read
     0.82%     0.00%  iou-wrk-3235     [kernel.vmlinux]  [k] io_issue_sqe
     0.82%     0.00%  iou-wrk-3235     [kernel.vmlinux]  [k] io_wq_submit_work
     0.82%     0.00%  iou-wrk-3235     [kernel.vmlinux]  [k] io_read
     0.81%     0.05%  iou-wrk-3229     [kernel.vmlinux]  [k] filemap_read
     0.81%     0.04%  iou-wrk-3261     [kernel.vmlinux]  [k] filemap_read
     0.81%     0.04%  iou-wrk-3240     [kernel.vmlinux]  [k] filemap_read
     0.80%     0.02%  iou-wrk-3228     [kernel.vmlinux]  [k] filemap_read
     0.79%     0.00%  iou-wrk-3241     [kernel.vmlinux]  [k] io_wq_submit_work
